id,loc,phe
B1203,3,4359
B1102,3,3788.33333333333
B1205,3,3722.66666666667
B1151,3,4059.66666666667
B1206,3,3897
B1152,3,4095
B1207,3,4118
B1208,3,3703.33333333333
A1307,3,4251
A1309,3,4027.66666666667
A1310,3,4341.66666666667
A1313,3,3832.33333333333
A1314,3,3983
A1311,3,4062
A1312,3,4216.66666666667
M1345,3,3683.33333333333
M1351,3,3651
M1353,3,3931.33333333333
M1354,3,4309
M1356,3,4129.66666666667
M1357,3,3891
M1358,3,4036.66666666667
M1359,3,3783.66666666667
M1360,3,4118.66666666667
M1361,3,3893.33333333333
B1209,3,3945.66666666667
B1210,3,3968.33333333333
B1103,3,4300
B1153,3,4168
B1005,3,4156.66666666667
B1104,3,4274.66666666667
B1105,3,3701.33333333333
B1055,3,4181
B1106,3,4031
B1107,3,3727.66666666667
B1211,3,4170.66666666667
A1264,3,4060.33333333333
A1265,3,3804
A1316,3,4252.66666666667
A1269,3,3808.66666666667
A1273,3,3630.33333333333
A1274,3,4307
A1275,3,4228.66666666667
A1276,3,3813.66666666667
A1279,3,4131.66666666667
M1367,3,3641.33333333333
B1155,3,4088.33333333333
B1057,3,4132
B1157,3,4102.33333333333
B1011,3,3950
A1267,3,4128.33333333333
A1272,3,3930
A1270,3,3917.33333333333
A1277,3,4157.33333333333
A1321,3,3728.66666666667
A1317,3,4129.33333333333
A1318,3,3822.33333333333
A1319,3,4202.33333333333
A1320,3,3589
A1268,3,3737.66666666667
M1362,3,3881.33333333333
M1363,3,3863
M1347,3,3707.33333333333
M1364,3,4002
M1365,3,3788.66666666667
M1368,3,4042.66666666667
M1366,3,3702
B1216,3,4065.33333333333
B1007,3,4384.33333333333
B1008,3,3633.66666666667
B1009,3,4101.33333333333
B1158,3,4795.33333333333
B1159,3,4088
B1160,3,3923.33333333333
B1110,3,4210
B1111,3,4301.66666666667
B1161,3,3630.33333333333
B1062,3,4430.33333333333
B1010,3,3925.33333333333
B1217,3,3848.66666666667
B1218,3,4145
B1219,3,3796.66666666667
B1220,3,3875.66666666667
B1058,3,3918.66666666667
B1060,3,4002
B1061,3,3758.33333333333
B1012,3,4250
B1019,3,4326.66666666667
B1075,3,3983
A1259,3,3870.66666666667
M1463,4,1976
A1257,4,2482.33333333333
A1258,4,2862.66666666667
A1302,4,2472.33333333333
M1464,4,2101.66666666667
A1261,4,2189.66666666667
A1262,4,3090
M1467,4,2807.66666666667
B1053,4,2705.33333333333
A1260,4,2616.66666666667
M1465,4,1893.66666666667
M1469,4,2731.66666666667
A1304,4,2925
M1471,4,2249.66666666667
A1263,4,2742
B1201,4,2534.66666666667
B1202,4,2488.33333333333
B1203,4,2634
B1102,4,2335.66666666667
B1205,4,2434.33333333333
B1151,4,2724.66666666667
B1206,4,2426
B1152,4,2784
B1207,4,2853.66666666667
B1208,4,2516.66666666667
A1307,4,2792
A1309,4,2648.66666666667
A1310,4,2711.66666666667
A1313,4,2016
A1314,4,2417
A1311,4,1834.66666666667
A1312,4,2424.66666666667
M1345,4,1961.66666666667
M1351,4,2788.33333333333
M1353,4,2736.33333333333
M1354,4,2592
M1356,4,2649
M1357,4,2853.33333333333
M1358,4,2849.33333333333
M1359,4,2368.66666666667
M1360,4,2438.66666666667
M1361,4,2809.33333333333
B1209,4,2646.66666666667
B1210,4,2873
B1103,4,3049
B1153,4,2856.33333333333
B1005,4,2851
B1104,4,2829.33333333333
B1105,4,2783.33333333333
B1055,4,2693.66666666667
B1106,4,2319.33333333333
B1107,4,2165.33333333333
B1211,4,3093.33333333333
A1264,4,2748
A1265,4,2740
A1316,4,2451
A1269,4,2883.33333333333
A1273,4,2254.33333333333
A1274,4,2471.33333333333
A1275,4,2323.66666666667
A1276,4,2637.33333333333
A1279,4,2338.66666666667
M1367,4,1872.33333333333
B1155,4,2084
B1057,4,2583
B1157,4,2745
B1011,4,1798.66666666667
A1267,4,2085.66666666667
A1272,4,1794.33333333333
A1270,4,2864.66666666667
A1277,4,2714.33333333333
A1321,4,2946
A1317,4,2400.33333333333
A1318,4,2373.33333333333
A1319,4,2644
A1320,4,2103
A1268,4,3036.33333333333
M1362,4,2219
M1363,4,2608.33333333333
M1347,4,2145
M1364,4,1921
M1365,4,2158
M1368,4,2600
M1366,4,2142.66666666667
B1216,4,2407.33333333333
B1007,4,2035.33333333333
B1008,4,2198.33333333333
B1009,4,2047
B1158,4,2963.33333333333
